id,parkname,VisitCount,Permittee,zip,Zip,NoOfGuests,days_visited,year,island_park,parkname_numeric,income,residents_distance_meters,residents_duration,island_live,visited_another_island,travel_distance_km,avg_days_visited,price
4,Ainapo Cabin,0,4,96734,96734,2,3,2021,Hawaii,1,102242,143479,194.39999,Oahu,1,286.958,3,836.7689302655289
4,Hipalau,0,4,96734,96734,2,3,2021,Kauai,2,102242,101736,124.7,Oahu,1,203.472,3,659.0643426705217
4,Kaluahaulu,0,4,96734,96734,2,3,2021,Kauai,3,102242,101727,124.7,Oahu,1,203.454,3,659.0480775946041
4,Kamananui Trail,0,4,96734,96734,2,3,2021,Oahu,4,102242,25673,31.1,Oahu,1,51.346,3,58.397032670078914
4,Kaunala Trail,0,4,96734,96734,2,3,2021,Oahu,5,102242,74482,82.699997,Oahu,1,148.964,3,146.60615383215122
4,Kawaikoi,0,4,96734,96734,2,3,2021,Kauai,6,102242,115085,154.5,Oahu,1,230.17,3,691.1890647175316
4,Keanakolu Ranger & Bunkhouse Cabins,0,4,96734,96734,2,3,2021,Hawaii,7,102242,137800,202.2,Oahu,1,275.6,3,856.5056673615684
4,Kuaokala Trail,0,4,96734,96734,2,3,2021,Oahu,8,102242,80264,90.699997,Oahu,1,160.528,3,157.05556149383455
4,Kulanaahane Trail,0,4,96734,96734,2,3,2021,Oahu,9,102242,25478,30.799999,Oahu,1,50.956,3,58.044622691865804
4,Kuliouou Trail,0,4,96734,96734,2,3,2021,Oahu,10,102242,28966,41.299999,Oahu,1,57.932,3,64.34824322523687
4,Lonomea,0,4,96734,96734,2,3,2021,Kauai,11,102242,97267,118.3,Oahu,1,194.534,3,650.98782886214
4,Maakua Ridge Trail,0,4,96734,96734,2,3,2021,Oahu,12,102242,39772,57.799999,Oahu,1,79.544,3,83.87717771021613
4,Manana Trail,0,4,96734,96734,2,3,2021,Oahu,13,102242,34071,39,Oahu,1,68.142,3,73.57415573179055
4,Peacock Flats Campsite,0,4,96734,96734,2,3,2021,Oahu,14,102242,92143,137.2,Oahu,1,184.286,3,178.52365447431475
4,Sugi Grove,0,4,96734,96734,2,3,2021,Kauai,15,102242,109197,138.10001,Oahu,1,218.394,3,672.5480906061529
4,Waialae Cabin Campsite,0,4,96734,96734,2,3,2021,Kauai,16,102242,81718,100.8,Oahu,1,163.436,3,622.8871993686231
4,Waikoali,0,4,96734,96734,2,3,2021,Kauai,17,102242,110716,141.39999,Oahu,1,221.432,3,675.2932739749002
4,Waikolu,0,4,96734,96734,2,3,2021,Molokai,18,102242,51055,71.5,Oahu,1,102.11,3,487.34798763823835
4,Waimano Trail,0,4,96734,96734,2,3,2021,Oahu,19,102242,35551,41.200001,Oahu,1,71.102,3,76.24885710489525
