"site","mean_value","id","zip"
1,1.01863406598568e-11,4,96734
2,1.01863406598568e-11,4,96734
3,1.01863406598568e-11,4,96734
4,1.01863406598568e-11,4,96734
5,1.01863406598568e-11,4,96734
6,1.01863406598568e-11,4,96734
7,1.01863406598568e-11,4,96734
8,1.01863406598568e-11,4,96734
9,1.01863406598568e-11,4,96734
10,1.01863406598568e-11,4,96734
11,1.01863406598568e-11,4,96734
12,1.01863406598568e-11,4,96734
13,1.01863406598568e-11,4,96734
14,1.01863406598568e-11,4,96734
15,1.01863406598568e-11,4,96734
16,1.01863406598568e-11,4,96734
17,1.01863406598568e-11,4,96734
18,1.01863406598568e-11,4,96734
19,1.01863406598568e-11,4,96734
20,-166.886769113588,4,96734
21,1.01863406598568e-11,4,96734
22,1.01863406598568e-11,4,96734
23,-166.886769113588,4,96734
1,1.16415321826935e-11,10,96818
2,1.16415321826935e-11,10,96818
3,1.16415321826935e-11,10,96818
4,1.16415321826935e-11,10,96818
5,1.16415321826935e-11,10,96818
6,1.16415321826935e-11,10,96818
7,1.16415321826935e-11,10,96818
8,1.16415321826935e-11,10,96818
9,1.16415321826935e-11,10,96818
10,1.16415321826935e-11,10,96818
11,1.16415321826935e-11,10,96818
12,1.16415321826935e-11,10,96818
13,1.16415321826935e-11,10,96818
14,-22.0832164622887,10,96818
15,1.16415321826935e-11,10,96818
16,1.16415321826935e-11,10,96818
17,1.16415321826935e-11,10,96818
18,1.16415321826935e-11,10,96818
19,1.16415321826935e-11,10,96818
20,1.16415321826935e-11,10,96818
21,1.16415321826935e-11,10,96818
22,1.16415321826935e-11,10,96818
23,-22.0832164622887,10,96818
1,-2.91038304567337e-12,13,96797
2,-2.91038304567337e-12,13,96797
3,-2.91038304567337e-12,13,96797
4,-2.91038304567337e-12,13,96797
5,-2.91038304567337e-12,13,96797
6,-2.91038304567337e-12,13,96797
7,-2.91038304567337e-12,13,96797
8,-2.91038304567337e-12,13,96797
9,-2.91038304567337e-12,13,96797
10,-15.7744932739467,13,96797
11,-2.91038304567337e-12,13,96797
12,-2.91038304567337e-12,13,96797
13,-2.91038304567337e-12,13,96797
14,-2.91038304567337e-12,13,96797
15,-2.91038304567337e-12,13,96797
16,-2.91038304567337e-12,13,96797
17,-2.91038304567337e-12,13,96797
18,-2.91038304567337e-12,13,96797
19,-2.91038304567337e-12,13,96797
20,-2.91038304567337e-12,13,96797
21,-2.91038304567337e-12,13,96797
22,-2.91038304567337e-12,13,96797
23,-15.7744932739467,13,96797
1,-4.85063840945562e-12,14,96816
2,-4.85063840945562e-12,14,96816
3,-4.85063840945562e-12,14,96816
4,-4.85063840945562e-12,14,96816
5,-4.85063840945562e-12,14,96816
6,-4.85063840945562e-12,14,96816
7,-4.85063840945562e-12,14,96816
8,-4.85063840945562e-12,14,96816
9,-4.85063840945562e-12,14,96816
10,-4.85063840945562e-12,14,96816
11,-4.85063840945562e-12,14,96816
12,-4.85063840945562e-12,14,96816
13,-4.85063840945562e-12,14,96816
14,-30.8306514061856,14,96816
15,-4.85063840945562e-12,14,96816
16,-4.85063840945562e-12,14,96816
17,-4.85063840945562e-12,14,96816
18,-4.85063840945562e-12,14,96816
19,-4.85063840945562e-12,14,96816
20,-4.85063840945562e-12,14,96816
21,-4.85063840945562e-12,14,96816
22,-4.85063840945562e-12,14,96816
23,-30.8306514061856,14,96816
1,4.85063840945562e-12,17,96795
2,4.85063840945562e-12,17,96795
3,4.85063840945562e-12,17,96795
4,4.85063840945562e-12,17,96795
5,4.85063840945562e-12,17,96795
6,4.85063840945562e-12,17,96795
7,4.85063840945562e-12,17,96795
8,4.85063840945562e-12,17,96795
9,4.85063840945562e-12,17,96795
10,4.85063840945562e-12,17,96795
11,4.85063840945562e-12,17,96795
12,4.85063840945562e-12,17,96795
13,4.85063840945562e-12,17,96795
14,4.85063840945562e-12,17,96795
15,4.85063840945562e-12,17,96795
16,4.85063840945562e-12,17,96795
17,4.85063840945562e-12,17,96795
18,4.85063840945562e-12,17,96795
19,4.85063840945562e-12,17,96795
20,-161.908449698218,17,96795
21,4.85063840945562e-12,17,96795
22,4.85063840945562e-12,17,96795
23,-161.908450001478,17,96795
1,9.70127681891123e-12,27,96818
2,9.70127681891123e-12,27,96818
3,9.70127681891123e-12,27,96818
4,-4.29488280210401,27,96818
5,9.70127681891123e-12,27,96818
6,9.70127681891123e-12,27,96818
7,9.70127681891123e-12,27,96818
8,9.70127681891123e-12,27,96818
9,9.70127681891123e-12,27,96818
10,9.70127681891123e-12,27,96818
11,9.70127681891123e-12,27,96818
12,9.70127681891123e-12,27,96818
13,9.70127681891123e-12,27,96818
14,9.70127681891123e-12,27,96818
15,9.70127681891123e-12,27,96818
16,9.70127681891123e-12,27,96818
17,9.70127681891123e-12,27,96818
18,9.70127681891123e-12,27,96818
19,9.70127681891123e-12,27,96818
20,9.70127681891123e-12,27,96818
21,9.70127681891123e-12,27,96818
22,9.70127681891123e-12,27,96818
23,-4.29488280210401,27,96818
1,1.30967237055302e-11,34,96707
2,1.30967237055302e-11,34,96707
3,1.30967237055302e-11,34,96707
4,1.30967237055302e-11,34,96707
5,1.30967237055302e-11,34,96707
6,1.30967237055302e-11,34,96707
7,1.30967237055302e-11,34,96707
8,-53.9977472419154,34,96707
9,1.30967237055302e-11,34,96707
10,1.30967237055302e-11,34,96707
11,1.30967237055302e-11,34,96707
12,1.30967237055302e-11,34,96707
13,1.30967237055302e-11,34,96707
14,1.30967237055302e-11,34,96707
15,1.30967237055302e-11,34,96707
16,1.30967237055302e-11,34,96707
17,1.30967237055302e-11,34,96707
18,1.30967237055302e-11,34,96707
19,1.30967237055302e-11,34,96707
20,1.30967237055302e-11,34,96707
21,1.30967237055302e-11,34,96707
22,1.30967237055302e-11,34,96707
23,-53.9977472434499,34,96707
1,1.94025536378225e-12,35,96746
2,-107.145995741682,35,96746
3,-29.7314633935104,35,96746
4,1.94025536378225e-12,35,96746
5,1.94025536378225e-12,35,96746
6,1.94025536378225e-12,35,96746
7,1.94025536378225e-12,35,96746
8,1.94025536378225e-12,35,96746
9,1.94025536378225e-12,35,96746
10,1.94025536378225e-12,35,96746
11,1.94025536378225e-12,35,96746
12,1.94025536378225e-12,35,96746
13,1.94025536378225e-12,35,96746
14,1.94025536378225e-12,35,96746
15,1.94025536378225e-12,35,96746
16,1.94025536378225e-12,35,96746
17,1.94025536378225e-12,35,96746
18,1.94025536378225e-12,35,96746
19,1.94025536378225e-12,35,96746
20,1.94025536378225e-12,35,96746
21,1.94025536378225e-12,35,96746
22,1.94025536378225e-12,35,96746
23,-137.047970768131,35,96746
1,-4.85063840945562e-13,45,96734
2,-4.85063840945562e-13,45,96734
3,-4.85063840945562e-13,45,96734
4,-4.85063840945562e-13,45,96734
5,-4.85063840945562e-13,45,96734
6,-4.85063840945562e-13,45,96734
7,-4.85063840945562e-13,45,96734
