v1,zip,parkname,duration,distancemeters,duration_nearest_airport,distancem_nearest_airport,zip_to_airport,duration_airport_site,distancem_airport_site,airport_to_site,intra_island_duration,intra_island_distancem,residents_duration,residents_distance_meters,island_live,population2020,income
1,96701,Manana Trail,19.3,16160,31.9,19590,Daniel K Inouye International Airport,40.200001,23460,Daniel K Inouye International Airport,NA,NA,19.299999,16160,Oahu,42833,94541
2,96701,Maakua Ridge Trail,69,54087,31.9,19590,Daniel K Inouye International Airport,88.300003,61386,Daniel K Inouye International Airport,NA,NA,69,54087,Oahu,42833,94541
3,96701,Kaunala Trail,63,56571,31.9,19590,Daniel K Inouye International Airport,84,64898,Daniel K Inouye International Airport,NA,NA,63,56571,Oahu,42833,94541
4,96701,Lonomea,NA,NA,31.9,19590,Daniel K Inouye International Airport,66.699997,59765,Lihue Airport,98.6,79355,98.599998,79355,Oahu,42833,94541
6,96701,Keanakolu Ranger & Bunkhouse Cabins,NA,NA,31.9,19590,Daniel K Inouye International Airport,150.60001,100298,Kona International at Keahole Airport,182.5,119888,182.5,119888,Oahu,42833,94541
7,96701,Kawaikoi,NA,NA,31.9,19590,Daniel K Inouye International Airport,102.9,77583,Lihue Airport,134.8,97173,134.8,97173,Oahu,42833,94541
8,96701,Wiliwili,NA,NA,31.9,19590,Daniel K Inouye International Airport,57.099998,54614,Lihue Airport,89,74204,89,74204,Oahu,42833,94541
9,96701,Ainapo Cabin,NA,NA,31.9,19590,Daniel K Inouye International Airport,142.8,105977,Kona International at Keahole Airport,174.7,125567,174.7,125567,Oahu,42833,94541
10,96701,Waimano Trail,21.5,17640,31.9,19590,Daniel K Inouye International Airport,60.400002,36643,Daniel K Inouye International Airport,NA,NA,21.5,17640,Oahu,42833,94541
11,96701,Peacock Flats Campsite,117.5,74232,31.9,19590,Daniel K Inouye International Airport,138.5,82548,Daniel K Inouye International Airport,NA,NA,117.5,74232,Oahu,42833,94541
12,96701,Waimanu Campsite,NA,NA,31.9,19590,Daniel K Inouye International Airport,97.699997,96685,Kona International at Keahole Airport,129.6,116275,129.60001,116275,Oahu,42833,94541
13,96701,Kuliouou Trail,37.2,32370,31.9,19590,Daniel K Inouye International Airport,55,37598,Daniel K Inouye International Airport,NA,NA,37.200001,32370,Oahu,42833,94541
15,96701,Wiliwilinui Ridge Trail,32.7,29168,31.9,19590,Daniel K Inouye International Airport,49.799999,34212,Daniel K Inouye International Airport,NA,NA,32.700001,29168,Oahu,42833,94541
16,96701,Sugi Grove,NA,NA,31.9,19590,Daniel K Inouye International Airport,86.5,71695,Lihue Airport,118.4,91285,118.4,91285,Oahu,42833,94541
17,96701,Hipalau,NA,NA,31.9,19590,Daniel K Inouye International Airport,73.099998,64234,Lihue Airport,105,83824,105,83824,Oahu,42833,94541
18,96701,Kamananui Trail,12.3,10424,31.9,19590,Daniel K Inouye International Airport,35,19265,Daniel K Inouye International Airport,NA,NA,12.3,10424,Oahu,42833,94541
19,96701,Kaluahaulu,NA,NA,31.9,19590,Daniel K Inouye International Airport,73.099998,64225,Lihue Airport,105,83815,105,83815,Oahu,42833,94541
20,96701,Kulanaahane Trail,12,10229,31.9,19590,Daniel K Inouye International Airport,34.700001,19070,Daniel K Inouye International Airport,NA,NA,12,10229,Oahu,42833,94541
21,96701,Kuaokala Trail,70.9,62353,31.9,19590,Daniel K Inouye International Airport,92.599998,71137,Daniel K Inouye International Airport,NA,NA,70.900002,62353,Oahu,42833,94541
22,96701,Waialae Cabin Campsite,NA,NA,31.9,19590,Daniel K Inouye International Airport,49.200001,44216,Lihue Airport,81.1,63806,81.099998,63806,Oahu,42833,94541
23,96701,Waikolu,NA,NA,31.9,19590,Daniel K Inouye International Airport,19.9,13553,Molokai Airport,51.8,33143,51.799999,33143,Oahu,42833,94541
24,96701,Waikoali,NA,NA,31.9,19590,Daniel K Inouye International Airport,89.800003,73214,Lihue Airport,121.7,92804,121.7,92804,Oahu,42833,94541
25,96703,Kulanaahane Trail,NA,NA,33.299999,21890,Lihue Airport,34.700001,19070,Daniel K Inouye International Airport,68,40960,68,40960,Kauai,2638,69615
27,96703,Kaunala Trail,NA,NA,33.299999,21890,Lihue Airport,84,64898,Daniel K Inouye International Airport,117.3,86788,117.3,86788,Kauai,2638,69615
28,96703,Wiliwili,89.4,79905,33.299999,21890,Lihue Airport,57.099998,54614,Lihue Airport,NA,NA,89.400002,79905,Kauai,2638,69615
29,96703,Peacock Flats Campsite,NA,NA,33.299999,21890,Lihue Airport,138.5,82548,Daniel K Inouye International Airport,171.8,104438,171.8,104438,Kauai,2638,69615
30,96703,Waikoali,112.2,91772,33.299999,21890,Lihue Airport,89.800003,73214,Lihue Airport,NA,NA,112.2,91772,Kauai,2638,69615
32,96703,Kawaikoi,120.7,96521,33.299999,21890,Lihue Airport,102.9,77583,Lihue Airport,NA,NA,120.7,96521,Kauai,2638,69615
33,96703,Kamananui Trail,NA,NA,33.299999,21890,Lihue Airport,35,19265,Daniel K Inouye International Airport,68.3,41155,68.300003,41155,Kauai,2638,69615
34,96703,Ainapo Cabin,NA,NA,33.299999,21890,Lihue Airport,142.8,105977,Kona International at Keahole Airport,176.1,127867,176.10001,127867,Kauai,2638,69615
35,96703,Kuaokala Trail,NA,NA,33.299999,21890,Lihue Airport,92.599998,71137,Daniel K Inouye International Airport,125.9,93027,125.9,93027,Kauai,2638,69615
36,96703,Lonomea,89.4,79907,33.299999,21890,Lihue Airport,66.699997,59765,Lihue Airport,NA,NA,89.400002,79907,Kauai,2638,69615
37,96703,Maakua Ridge Trail,NA,NA,33.299999,21890,Lihue Airport,88.300003,61386,Daniel K Inouye International Airport,121.6,83276,121.6,83276,Kauai,2638,69615
38,96703,Sugi Grove,108.9,90270,33.299999,21890,Lihue Airport,86.5,71695,Lihue Airport,NA,NA,108.9,90270,Kauai,2638,69615
39,96703,Kuliouou Trail,NA,NA,33.299999,21890,Lihue Airport,55,37598,Daniel K Inouye International Airport,88.3,59488,88.300003,59488,Kauai,2638,69615
40,96703,Wiliwilinui Ridge Trail,NA,NA,33.299999,21890,Lihue Airport,49.799999,34212,Daniel K Inouye International Airport,83.1,56102,83.099998,56102,Kauai,2638,69615
41,96703,Waialae Cabin Campsite,71.7,62754,33.299999,21890,Lihue Airport,49.200001,44216,Lihue Airport,NA,NA,71.699997,62754,Kauai,2638,69615
42,96703,Waikolu,NA,NA,33.299999,21890,Lihue Airport,19.9,13553,Molokai Airport,53.2,35443,53.200001,35443,Kauai,2638,69615
43,96703,Hipalau,89.4,79878,33.299999,21890,Lihue Airport,73.099998,64234,Lihue Airport,NA,NA,89.400002,79878,Kauai,2638,69615
44,96703,Kaluahaulu,89.4,79886,33.299999,21890,Lihue Airport,73.099998,64225,Lihue Airport,NA,NA,89.400002,79886,Kauai,2638,69615
45,96703,Manana Trail,NA,NA,33.299999,21890,Lihue Airport,40.200001,23460,Daniel K Inouye International Airport,73.5,45350,73.5,45350,Kauai,2638,69615
46,96703,Waimano Trail,NA,NA,33.299999,21890,Lihue Airport,60.400002,36643,Daniel K Inouye International Airport,93.7,58533,93.699997,58533,Kauai,2638,69615
47,96703,Waimanu Campsite,NA,NA,33.299999,21890,Lihue Airport,97.699997,96685,Kona International at Keahole Airport,131,118575,131,118575,Kauai,2638,69615
48,96703,Keanakolu Ranger & Bunkhouse Cabins,NA,NA,33.299999,21890,Lihue Airport,150.60001,100298,Kona International at Keahole Airport,183.9,122188,183.89999,122188,Kauai,2638,69615
49,96704,Hipalau,NA,NA,55.599998,53056,Kona International at Keahole Airport,73.099998,64234,Lihue Airport,128.7,117290,128.7,117290,Hawaii,6818,52708
50,96704,Wiliwilinui Ridge Trail,NA,NA,55.599998,53056,Kona International at Keahole Airport,49.799999,34212,Daniel K Inouye International Airport,105.4,87268,105.4,87268,Hawaii,6818,52708
51,96704,Waialae Cabin Campsite,NA,NA,55.599998,53056,Kona International at Keahole Airport,49.200001,44216,Lihue Airport,104.8,97272,104.8,97272,Hawaii,6818,52708
52,96704,Waimano Trail,NA,NA,55.599998,53056,Kona International at Keahole Airport,60.400002,36643,Daniel K Inouye International Airport,116,89699,116,89699,Hawaii,6818,52708
53,96704,Keanakolu Ranger & Bunkhouse Cabins,189.9,142640,55.599998,53056,Kona International at Keahole Airport,150.60001,100298,Kona International at Keahole Airport,NA,NA,189.89999,142640,Hawaii,6818,52708
54,96704,Kawaikoi,NA,NA,55.599998,53056,Kona International at Keahole Airport,102.9,77583,Lihue Airport,158.5,130639,158.5,130639,Hawaii,6818,52708
