parkname,mean_cv_rum,std_dev_rum,ci_lo_2.5_rum,ci_hi_97.5_rum,rum_total_annual_loss,parkname_numeric,mean,std.dev,ci_lo2.5%,ci_hi97.5%,year
Ainapo Cabin,-2.9599753212638196,3.8091883890076907,-3.1377878536067625,-2.7821627889208767,-5218.436491388114,1,-0.9945826893088563,0.1722676293269462,-1.3173947832636017,-0.7337116980296529,2018
Hipalau,-2.5912821512197284,4.250944138786441,-2.7897157977012865,-2.3928485047381702,-4568.430432600381,2,-1.8485488976085214,0.3482592027393582,-2.3981653446237274,-1.316312262113853,2018
Kaluahaulu,-1.4209449391231217,2.3147964949911284,-1.5289994075817335,-1.31289047066451,-2505.1259276740634,3,-1.3118096224849793,0.4023140017964446,-2.2589540065595304,-0.7325415071066375,2018
Kamananui Trail,-1.4089560123184404,1.165399778954215,-1.4633567572345345,-1.3545552674023462,-2483.9894497174105,4,-0.0961639368444248,0.022673744123696788,-0.1401004991380134,-0.05911753376538753,2018
Kaunala Trail,-0.8430288327609622,0.7197051397734652,-0.876624596575807,-0.8094330689461173,-1486.2598321575763,5,-0.13804246055221406,0.03874898167125634,-0.21809538622669927,-0.08652175598672428,2018
Kawaikoi,-6.95012491411602,11.568110750979681,-7.490123164922189,-6.410126663309851,-12253.070223586543,6,-2.8448278870766868,0.45371424527517795,-3.751394558377845,-2.2146069673824984,2018
Keanakolu Ranger & Bunkhouse Cabins,-15.37250415447408,18.131083384504265,-16.218861310245945,-14.526146998702215,-27101.724824337805,7,-4.469738425671438,0.36217228074858315,-5.354915680626623,-4.0039483821924495,2018
Kuaokala Trail,-18.821577060644195,15.100476985852078,-19.526465813374053,-18.116688307914337,-33182.440357915715,8,-4.093828479333866,0.2765802317931957,-4.5986933989151755,-3.6091146235496225,2018
Kulanaahane Trail,-0.46739699740042234,0.3864255006751957,-0.48543530105461513,-0.44935869374622955,-824.0209064169446,9,-0.03510856501109577,0.018715029629757622,-0.0755313400465273,-0.00802595427990772,2018
Kuliouou Trail,-2.361661293717641,2.1150321113383113,-2.4603907807624332,-2.262931806672849,-4163.608860824202,10,-0.27961742696618297,0.058001623400281296,-0.41726667953081126,-0.20991995431752677,2018
Lonomea,-5.023796188927331,8.212542981111985,-5.407156872442172,-4.640435505412489,-8856.952681078883,11,-2.791038687775874,0.43061592258235054,-3.590587179345299,-2.163935350552449,2018
