year,parkname,rum_mean_per_trip,mdcev_mean_per_person,rum_annual_total,mdcev_annual_total,difference,std_dev_rum,ci_lo_2.5_rum,ci_hi_97.5_rum,rum_total_annual_loss,std.dev,ci_lo2.5%,ci_hi97.5%,parkname_numeric
2018,Ainapo Cabin,-2.9599753212638196,-0.994582689308856,-5218.436491388114,-1372.5241112462213,-3845.9123801418923,3.8091883890076907,-3.1377878536067625,-2.7821627889208767,-5218.436491388114,0.172267629326946,-1.3173947832636,-0.733711698029653,1
2018,Hipalau,-2.5912821512197284,-1.84854889760852,-4568.430432600381,-2550.9974786997577,-2017.4329539006235,4.250944138786441,-2.7897157977012865,-2.3928485047381702,-4568.430432600381,0.348259202739358,-2.39816534462373,-1.31631226211385,2
2018,Kaluahaulu,-1.4209449391231217,-1.31180962248498,-2505.1259276740634,-1810.2972790292724,-694.828648644791,2.3147964949911284,-1.5289994075817335,-1.31289047066451,-2505.1259276740634,0.402314001796445,-2.25895400655953,-0.732541507106637,3
2018,Kamananui Trail,-1.4089560123184404,-0.0961639368444248,-2483.9894497174105,-132.70623284530623,-2351.2832168721043,1.165399778954215,-1.4633567572345345,-1.3545552674023462,-2483.9894497174105,0.0226737441236968,-0.140100499138013,-0.0591175337653875,4
2018,Kaunala Trail,-0.8430288327609622,-0.138042460552214,-1486.2598321575763,-190.49859556205533,-1295.761236595521,0.7197051397734652,-0.876624596575807,-0.8094330689461173,-1486.2598321575763,0.0387489816712563,-0.218095386226699,-0.0865217559867243,5
2018,Kawaikoi,-6.95012491411602,-2.84482788707669,-12253.070223586543,-3925.862484165832,-8327.207739420712,11.568110750979681,-7.490123164922189,-6.410126663309851,-12253.070223586543,0.453714245275178,-3.75139455837785,-2.2146069673825,6
2018,Keanakolu Ranger & Bunkhouse Cabins,-15.37250415447408,-4.46973842567144,-27101.724824337805,-6168.239027426587,-20933.48579691122,18.131083384504265,-16.218861310245945,-14.526146998702215,-27101.724824337805,0.362172280748583,-5.35491568062662,-4.00394838219245,7
2018,Kuaokala Trail,-18.821577060644195,-4.09382847933387,-33182.440357915715,-5649.48330148074,-27532.957056434974,15.100476985852078,-19.526465813374053,-18.116688307914337,-33182.440357915715,0.276580231793196,-4.59869339891518,-3.60911462354962,8
2018,Kulanaahane Trail,-0.46739699740042234,-0.0351085650110958,-824.0209064169446,-48.4498197153122,-775.5710867016325,0.3864255006751957,-0.48543530105461513,-0.44935869374622955,-824.0209064169446,0.0187150296297576,-0.0755313400465273,-0.00802595427990772,9
2018,Kuliouou Trail,-2.361661293717641,-0.279617426966183,-4163.608860824202,-385.87204921333256,-3777.736811610869,2.1150321113383113,-2.4603907807624332,-2.262931806672849,-4163.608860824202,0.0580016234002813,-0.417266679530811,-0.209919954317527,10
2018,Lonomea,-5.023796188927331,-2.79103868777587,-8856.952681078883,-3851.6333891307004,-5005.319291948183,8.212542981111985,-5.407156872442172,-4.640435505412489,-8856.952681078883,0.430615922582351,-3.5905871793453,-2.16393535055245,11
2018,Manana Trail,-1.693010906351475,-0.140022833204684,-2984.7782278976506,-193.23150982246392,-2791.5467180751866,1.377673241233491,-1.7573205552183437,-1.6287012574846065,-2984.7782278976506,0.0369655880407039,-0.215849210392981,-0.0902526344731971,12
2018,Peacock Flats Campsite,-71.98809756163891,-14.9665756396365,-126915.0160011694,-20653.87438269837,-106261.14161847103,58.30657929277576,-74.70984284108513,-69.26635228219268,-126915.0160011694,0.684994935325345,-16.2849377686536,-14.0106076709083,13
2018,Sugi Grove,-7.1701014405711305,-2.21574412088824,-12640.888839726904,-3057.726886825771,-9583.161952901133,11.958552608652335,-7.728325478173721,-6.61187740296854,-12640.888839726904,0.303665951086799,-2.69598458206471,-1.68944170847725,14
2018,Waialae Cabin Campsite,-0.7520751644961616,-0.570300521034005,-1325.9085150067328,-787.0147190269269,-538.893795979806,1.1965501561328613,-0.8079300058978895,-0.6962203230944337,-1325.9085150067328,0.24805696880378,-1.1635612266952,-0.29045025624362,15
2018,Waikoali,-3.6900989065352143,-1.13886074182986,-6505.644372221583,-1571.6278237252068,-4934.016548496376,6.031249750261993,-3.9716370405853922,-3.4085607724850364,-6505.644372221583,0.184128020845695,-1.55440980134675,-0.855298731150478,16
2018,Waikolu,-0.6551958611549391,-0.589682605224494,-1155.1103032161577,-813.7619952098017,-341.348308006356,0.6032003164602238,-0.6833531914905484,-0.6270385308193298,-1155.1103032161577,0.294035446837684,-1.22801336099219,-0.242303531835344,17
2018,Waimano Trail,-1.0311804388516792,-0.25546284465893,-1817.9711136955104,-352.5387256293234,-1465.432388066187,0.8407683302423781,-1.0704274202678676,-0.9919334574354909,-1817.9711136955104,0.0721248957180296,-0.385735518048858,-0.151689109604082,18
2018,Waimanu Campsite,-63.92128057432425,-31.7739380087333,-112693.21765253365,-43848.03445205195,-68845.1832004817,82.14557167220737,-67.75582762953015,-60.086733519118354,-112693.21765253365,2.24039838014862,-36.1641629518607,-27.7857773288379,19
2018,Wiliwili,-2.88359919590231,-1.84348734501943,-5083.785382375773,-2544.0125361268133,-2539.77284624896,4.5565294014743705,-3.0962975318284824,-2.670900859976138,-5083.785382375773,0.460052885077183,-2.93961149451969,-1.24075138533678,20
2018,Wiliwilinui Ridge Trail,-1.0315169338843533,-0.0644181595572469,-1818.5643544381148,-88.89706018900073,-1729.667294249114,0.9046171963992644,-1.0737443739755033,-0.9892894937932032,-1818.5643544381148,0.0200015281937443,-0.0990754024999611,-0.0327084004788991,21
2019,Ainapo Cabin,-4.661587720883755,-1.65669702815547,-7873.421660572662,-2233.2275939535734,-5640.194066619089,5.754293701376454,-4.936018786035835,-4.387156655731675,-7873.421660572662,0.33551950850485,-2.35240610901884,-1.16160943089664,1
2019,Hipalau,-1.528644092761753,-1.27160410148185,-2581.879872674601,-1714.1223287975338,-867.7575438770671,2.73481499186419,-1.6590716013596614,-1.3982165841638448,-2581.879872674601,0.280888703500656,-1.85837327354844,-0.806819534306379,2
2019,Kaluahaulu,-1.334122895907254,-1.08873800323288,-2253.333571187352,-1467.6188283579222,-785.7147428294297,2.3840673077031487,-1.4478227111410027,-1.2204230806735052,-2253.333571187352,0.271987865208093,-1.6130906998966,-0.685444591654789,3
2019,Kamananui Trail,-0.3753332944316036,-0.0322539878319535,-633.9379342949785,-43.47837559747332,-590.4595586975051,0.3310210757775734,-0.3911201956792228,-0.35954639318398446,-633.9379342949785,0.0205202921203231,-0.0813540998609228,-0.00852981184692476,4
2019,Kaunala Trail,-0.84685771095489,-0.134750357723875,-1430.3426738028093,-181.6434822117835,-1248.6991915910257,0.7721269437249604,-0.8836816255125315,-0.8100337963972486,-1430.3426738028093,0.0540945045031413,-0.232436663197228,-0.0686971695819769,5
2019,Kawaikoi,-7.096179857095733,-2.31934719736455,-11985.447778634694,-3126.4800220474135,-8858.96775658728,12.963026529363285,-7.714406413240561,-6.477953300950905,-11985.447778634694,0.308064779959688,-2.79661352860473,-1.69167801531529,6
2019,Keanakolu Ranger & Bunkhouse Cabins,-17.5157205998079,-5.61480452705913,-29584.05209307554,-7568.756502475707,-22015.295590599835,19.528802711836143,-18.447079061415803,-16.584362138199996,-29584.05209307554,0.395548621798937,-6.47147242532978,-4.95949339177231,7
2019,Kuaokala Trail,-14.475281860023662,-2.82996019106625,-24448.751061579966,-3814.786337557305,-20633.964724022662,12.350248485355767,-15.064284094288888,-13.886279625758435,-24448.751061579966,0.362389342862785,-3.55722002148964,-2.23803539217302,8
2019,Kulanaahane Trail,-0.7522571706494338,-0.0504219635307355,-1270.5623612268937,-67.96880683943145,-1202.5935543874623,0.6636857612100417,-0.7839093594022555,-0.720604981896612,-1270.5623612268937,0.0192425320972383,-0.0890581023869109,-0.0205074733789542,9
2019,Kuliouou Trail,-1.7984177318791508,-0.28363462558036,-3037.5275491438856,-382.3394752823253,-2655.1880738615605,1.7133440013533332,-1.8801297270716884,-1.7167057366866132,-3037.5275491438856,0.0595041589915725,-0.385492118143089,-0.204758773925011,10
2019,Lonomea,-4.465273762158274,-1.79858666304667,-7541.847384285325,-2424.4948217869114,-5117.352562498413,7.9944352059225805,-4.84654060092353,-4.0840069233930185,-7541.847384285325,0.292752736840745,-2.3552962127391,-1.31483770333419,11
2019,Manana Trail,-1.3205053332730803,-0.0870891779291025,-2230.3335078982327,-117.39621184843016,-2112.9372960498026,1.1447920973074306,-1.3751022188242317,-1.265908447721929,-2230.3335078982327,0.0242579782387601,-0.132135038128339,-0.051686576755521,12
