parkname,rum_mean_per_trip,std_dev_rum,ci_lo_2.5_rum,ci_hi_97.5_rum,rum_total_annual_loss,parkname_numeric,mdcev_mean_per_person,std.dev,ci_lo2.5%,ci_hi97.5%,rum_annual_total,mdcev_annual_total,difference,year
Ainapo Cabin,-2.9599753212638196,3.8091883890076907,-3.1377878536067625,-2.7821627889208767,-5218.436491388114,1,-1.6566970281554747,0.33551950850485013,-2.3524061090188435,-1.1616094308966378,-4999.398317614591,-2233.22759395358,-2766.1707236610114,2018
Hipalau,-2.5912821512197284,4.250944138786441,-2.7897157977012865,-2.3928485047381702,-4568.430432600381,2,-1.2716041014818529,0.280888703500656,-1.8583732735484402,-0.8068195343063789,-4376.675553410121,-1714.1223287975376,-2662.5532246125836,2018
Kaluahaulu,-1.4209449391231217,2.3147964949911284,-1.5289994075817335,-1.31289047066451,-2505.1259276740634,3,-1.0887380032328802,0.27198786520809287,-1.6130906998966015,-0.6854445916547889,-2399.9760021789525,-1467.6188283579224,-932.3571738210301,2018
Kamananui Trail,-1.4089560123184404,1.165399778954215,-1.4633567572345345,-1.3545552674023462,-2483.9894497174105,4,-0.0322539878319535,0.02052029212032306,-0.08135409986092282,-0.008529811846924765,-2379.7267048058457,-43.47837559747332,-2336.2483292083725,2018
Kaunala Trail,-0.8430288327609622,0.7197051397734652,-0.876624596575807,-0.8094330689461173,-1486.2598321575763,5,-0.134750357723875,0.054094504503141294,-0.2324366631972276,-0.06869716958197689,-1423.8756985332652,-181.6434822117835,-1242.2322163214817,2018
Kawaikoi,-6.95012491411602,11.568110750979681,-7.490123164922189,-6.410126663309851,-12253.070223586543,6,-2.3193471973645465,0.3080647799596876,-2.796613528604733,-1.691678015315285,-11738.760979941957,-3126.4800220474085,-8612.280957894549,2018
Keanakolu Ranger & Bunkhouse Cabins,-15.37250415447408,18.131083384504265,-16.218861310245945,-14.526146998702215,-27101.724824337805,7,-5.614804527059129,0.3955486217989368,-6.471472425329777,-4.959493391772314,-25964.159516906722,-7568.756502475706,-18395.403014431016,2018
Kuaokala Trail,-18.821577060644195,15.100476985852078,-19.526465813374053,-18.116688307914337,-33182.440357915715,8,-2.8299601910662533,0.36238934286278507,-3.557220021489642,-2.2380353921730154,-31789.643655428044,-3814.7863375573093,-27974.857317870734,2018
Kulanaahane Trail,-0.46739699740042234,0.3864255006751957,-0.48543530105461513,-0.44935869374622955,-824.0209064169446,9,-0.05042196353073552,0.019242532097238342,-0.08905810238691092,-0.020507473378954165,-789.4335286093134,-67.96880683943148,-721.4647217698819,2018
Kuliouou Trail,-2.361661293717641,2.1150321113383113,-2.4603907807624332,-2.262931806672849,-4163.608860824202,10,-0.2836346255803605,0.05950415899157253,-0.38549211814308876,-0.20475877392501057,-3988.845925089096,-382.33947528232596,-3606.50644980677,2018
