"site","mean_value","id","zip"
1,-3.88051072756449e-12,19,96722
2,-3.88051072756449e-12,19,96722
3,-3.88051072756449e-12,19,96722
4,-3.88051072756449e-12,19,96722
5,-3.88051072756449e-12,19,96722
6,-35.7662647954712,19,96722
7,-3.88051072756449e-12,19,96722
8,-3.88051072756449e-12,19,96722
9,-3.88051072756449e-12,19,96722
10,-3.88051072756449e-12,19,96722
11,-3.88051072756449e-12,19,96722
12,-3.88051072756449e-12,19,96722
13,-3.88051072756449e-12,19,96722
14,-3.88051072756449e-12,19,96722
15,-3.88051072756449e-12,19,96722
16,-3.88051072756449e-12,19,96722
17,-3.88051072756449e-12,19,96722
18,-3.88051072756449e-12,19,96722
19,-3.88051072756449e-12,19,96722
20,-3.88051072756449e-12,19,96722
21,-3.88051072756449e-12,19,96722
22,-35.7662647954712,19,96722
1,-46.7368715311386,26,96740
2,-4.36557456851006e-12,26,96740
3,-4.36557456851006e-12,26,96740
4,-4.36557456851006e-12,26,96740
5,-4.36557456851006e-12,26,96740
6,-4.36557456851006e-12,26,96740
7,-4.36557456851006e-12,26,96740
8,-4.36557456851006e-12,26,96740
9,-4.36557456851006e-12,26,96740
10,-4.36557456851006e-12,26,96740
11,-4.36557456851006e-12,26,96740
12,-4.36557456851006e-12,26,96740
13,-4.36557456851006e-12,26,96740
14,-4.36557456851006e-12,26,96740
15,-4.36557456851006e-12,26,96740
16,-4.36557456851006e-12,26,96740
17,-4.36557456851006e-12,26,96740
18,-4.36557456851006e-12,26,96740
19,-4.36557456851006e-12,26,96740
20,-4.36557456851006e-12,26,96740
21,-4.36557456851006e-12,26,96740
22,-46.7368715311386,26,96740
1,-8.24608529607455e-12,30,96817
2,-8.24608529607455e-12,30,96817
3,-8.24608529607455e-12,30,96817
4,-8.24608529607455e-12,30,96817
5,-8.24608529607455e-12,30,96817
6,-8.24608529607455e-12,30,96817
7,-8.24608529607455e-12,30,96817
8,-18.1817349983156,30,96817
9,-8.24608529607455e-12,30,96817
10,-8.24608529607455e-12,30,96817
11,-8.24608529607455e-12,30,96817
12,-8.24608529607455e-12,30,96817
13,-8.24608529607455e-12,30,96817
14,-8.24608529607455e-12,30,96817
15,-8.24608529607455e-12,30,96817
16,-8.24608529607455e-12,30,96817
17,-8.24608529607455e-12,30,96817
18,-8.24608529607455e-12,30,96817
19,-8.24608529607455e-12,30,96817
20,-8.24608529607455e-12,30,96817
21,-8.24608529607455e-12,30,96817
22,-18.1817349983156,30,96817
1,-5.82076609134674e-12,35,96746
2,-5.82076609134674e-12,35,96746
3,-5.82076609134674e-12,35,96746
4,-5.82076609134674e-12,35,96746
5,-5.82076609134674e-12,35,96746
6,-5.82076609134674e-12,35,96746
7,-5.82076609134674e-12,35,96746
8,-5.82076609134674e-12,35,96746
9,-5.82076609134674e-12,35,96746
10,-5.82076609134674e-12,35,96746
11,-5.82076609134674e-12,35,96746
12,-5.82076609134674e-12,35,96746
13,-5.82076609134674e-12,35,96746
14,-5.82076609134674e-12,35,96746
15,-5.82076609134674e-12,35,96746
16,-26.7897966828959,35,96746
